claim id,word1,TF-IDF1,word2,TF-IDF2,word3,TF-IDF3,word4,TF-IDF4,word5,TF-IDF5
75397,Coster-Waldau,1.48970865,Nikolaj,1.265738717,Broadcasting,0.748676341,Fox,0.723064026,Company,0.545287724
150448,Atwood,1.542836873,creator,1.076840524,content,0.937649054,Roman,0.744962041,is,0.050586544
214861,narrative,0.374406932,graphic,0.361625143,sculpture,0.359283763,photography,0.356929004,poetry,0.320277534
156709,Bailon,2.407090447,Adrienne,1.805151085,accountant,1.597932698,an,0.240433244,is,0.060703853
129629,Prisoners,0.565178116,Homeland,0.504368029,spy,0.465774991,television,0.448467051,television,0.448467051
33078,Celtics,0.930678275,TD,0.77754167,Garden,0.605198836,Boston,0.52170406,games,0.411012527
6744,Commandments,1.377200274,epic,0.996235522,Ten,0.876385584,film,0.444517684,an,0.171738031
226034,Tetris,1.493966146,millions,1.024918475,copies,0.781329625,physical,0.779972851,sold,0.63980228
40190,1985,1.033412543,Lauper,0.652938525,Cyndi,0.640820679,27th,0.48465414,Artist,0.445139911
76253,Hunger,1.092451921,movie,0.639301327,Games,0.58528628,There,0.463996593,called,0.41756315